"Name","State","Notes","User","Tags","Created","Runtime","Sweep","experiment.name","experiment.output_dir","experiment.seed","logging.forecast_every","logging.log_every","logging.theory_match_every","loss.inner_product","loss.lambda_u","loss.lambda_v","loss.type","modality.future_len","modality.past_len","modality.sigma_u","modality.sigma_v","modality.start","modality.type","model.bias","model.embed_dim","model.init_logit_scale","model.type","signal.alpha","signal.dim_true","signal.tau","signal.type","signal.zero_mean","training.batch_size","training.lr","training.num_steps","training.optimizer","cov_error_post","cov_error_pre","eval/margin","eval/rand_sim_mean","eval/recall@10_u2v","eval/recall@10_v2u","eval/recall@1_u2v","eval/recall@1_v2u","eval/recall@5_u2v","eval/recall@5_v2u","eval/self_sim_mean","eval/self_sim_std","forecast_mse","forecast_mse_post","forecast_mse_pre","logit_scale","loss","model_cov_error","rand_sim","res_cov_error","self_sim","similarity_ratio","theory_err","v_mean","v_pred_mean","v_pred_std","v_std","weight_product_norm"
"phase1_gp_conditional_baseline","failed","-","","","2026-06-05T16:27:42.000Z","3","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","","5.540177345275879","","","","","","","","","","",""
"phase1_gp_conditional_baseline","failed","-","","","2026-06-05T16:26:51.000Z","3","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","","5.540177345275879","","","","","","","","","","",""
"phase1_gp_conditional_baseline","failed","-","","","2026-06-05T16:26:05.000Z","1","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","5e-3","100000","adam","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T16:25:03.000Z","3","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","100000","adam","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phase1_gp_conditional_baseline","failed","-","","","2026-06-05T16:21:03.000Z","4","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","","","","","","","","","","","","",""
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T16:05:58.000Z","462","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","14.130693435668944","6.434713363647461","","-0.00794610008597374","","0.2946379482746124","-37.079566955566406","1.6228269247755711","","","","","1.2861472368240356"
"hp_bs1024_lr1e4","crashed","-","","","2026-06-02T20:41:21.000Z","496","","hp_bs1024_lr1e4","results/hp_bs1024_lr1e4","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","25000","adam","","126.04429626464844","","","","","","","","","","","","","0.06691234558820724","14.077512741088867","6.443360328674316","","0.15222062170505524","","0.7939551472663879","5.215818405151367","1.5567742036251364","","","","","1.2358211278915403"
"hp_bs256_lr5e3","finished","-","","","2026-06-02T20:35:14.000Z","367","","hp_bs256_lr5e3","results/hp_bs256_lr5e3","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","25000","adam","282.4737243652344","126.04429626464844","","","","","","","","","","","","0.11399119347333908","0.06691234558820724","1.2795974016189575","5.04475212097168","","0.01652245596051216","","0.3648183047771454","22.080150604248047","0.4939028343625751","","","","","10.018033027648926"
"hp_bs256_lr1e3","finished","-","","","2026-06-02T20:29:08.000Z","366","","hp_bs256_lr1e3","results/hp_bs256_lr1e3","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.001","25000","adam","307.8872985839844","126.04429626464844","","","","","","","","","","","","0.12421362102031708","0.06691234558820724","10.092873573303224","5.048801422119141","","0.0030947590712457895","","0.3537476062774658","114.30538177490234","0.5160891695102737","","","","","1.3213346004486084"
"hp_bs256_lr5e4","finished","-","","","2026-06-02T20:22:55.000Z","372","","hp_bs256_lr5e4","results/hp_bs256_lr5e4","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","25000","adam","297.299072265625","126.04429626464844","","","","","","","","","","","","0.1210724040865898","0.06691234558820724","12.153019905090332","5.051565170288086","","0.014167523011565208","","0.3166027367115021","22.347078323364254","0.507359419166508","","","","","1.1337625980377195"
